category,sub_category,gift_name,price,occasion_type,gift_url,gift_image_url
뷰티,화장품,멜릭서 비건 립 버터 듀오 (12종 중 택2),24000,,https://gift.kakao.com/product/3712419?tab=review&sortProperty=SCORE,https://carefli-github-actions-s3-bucket.s3.ap-northeast-2.amazonaws.com/giftImages/%5B%E1%84%83%E1%85%A1%E1%86%AB%E1%84%83%E1%85%A9%E1%86%A8%3A%E1%84%89%E1%85%A5%E1%86%AB%E1%84%86%E1%85%AE%E1%86%AF%E1%84%91%E1%85%A9%E1%84%8C%E1%85%A1%E1%86%BC%5D+%E1%84%87%E1%85%B5%E1%84%80%E1%85%A5%E1%86%AB+%E1%84%85%E1%85%B5%E1%86%B8+%E1%84%87%E1%85%A5%E1%84%90%E1%85%A5+%E1%84%83%E1%85%B2%E1%84%8B%E1%85%A9+(12%E1%84%8C%E1%85%A9%E1%86%BC+%E1%84%8C%E1%85%AE%E1%86%BC+%E1%84%90%E1%85%A2%E1%86%A82).jpeg
뷰티,화장품,버츠비 모이스처라이징 립밤*2개 4.25g (종류 택2),8400,,https://gift.kakao.com/product/686579,https://carefli-github-actions-s3-bucket.s3.ap-northeast-2.amazonaws.com/giftImages/%E1%84%87%E1%85%A5%E1%84%8E%E1%85%B3%E1%84%87%E1%85%B5+%E1%84%86%E1%85%A9%E1%84%8B%E1%85%B5%E1%84%89%E1%85%B3%E1%84%8E%E1%85%A5%E1%84%85%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%8C%E1%85%B5%E1%86%BC+%E1%84%85%E1%85%B5%E1%86%B8%E1%84%87%E1%85%A1%E1%86%B7*2%E1%84%80%E1%85%A2+4.25g+(%E1%84%8C%E1%85%A9%E1%86%BC%E1%84%85%E1%85%B2+%E1%84%90%E1%85%A2%E1%86%A82).jpeg
뷰티,향기,딥티크 오드뚜왈렛 50ml (10종 택1),176000,,https://gift.kakao.com/product/3807173,https://carefli-github-actions-s3-bucket.s3.ap-northeast-2.amazonaws.com/giftImages/%5B%E1%84%89%E1%85%A5%E1%86%AB%E1%84%86%E1%85%AE%E1%86%AF%E1%84%91%E1%85%A9%E1%84%8C%E1%85%A1%E1%86%BC%5D+%E1%84%8B%E1%85%A9%E1%84%83%E1%85%B3%E1%84%84%E1%85%AE%E1%84%8B%E1%85%AA%E1%86%AF%E1%84%85%E1%85%A6%E1%86%BA+50ml+(10%E1%84%8C%E1%85%A9%E1%86%BC+%E1%84%90%E1%85%A2%E1%86%A81).jpeg
주류,식기,나만의 비어캔 맥주잔 특별한 각인 술잔,23900,,https://gift.kakao.com/product/10028370,https://carefli-github-actions-s3-bucket.s3.ap-northeast-2.amazonaws.com/giftImages/%E1%84%82%E1%85%A1%E1%84%86%E1%85%A1%E1%86%AB%E1%84%8B%E1%85%B4+%E1%84%87%E1%85%B5%E1%84%8B%E1%85%A5%E1%84%8F%E1%85%A2%E1%86%AB+%E1%84%86%E1%85%A2%E1%86%A8%E1%84%8C%E1%85%AE%E1%84%8C%E1%85%A1%E1%86%AB+%E1%84%90%E1%85%B3%E1%86%A8%E1%84%87%E1%85%A7%E1%86%AF%E1%84%92%E1%85%A1%E1%86%AB+%E1%84%80%E1%85%A1%E1%86%A8%E1%84%8B%E1%85%B5%E1%86%AB+%E1%84%89%E1%85%AE%E1%86%AF%E1%84%8C%E1%85%A1%E1%86%AB+%E1%84%82%E1%85%A1%E1%86%B7%E1%84%8C%E1%85%A1+%E1%84%8B%E1%85%A7%E1%84%8C%E1%85%A1.png
주류,식기,술잔 주인님 핸드메이드 강아지,19800,,https://gift.kakao.com/product/7280651,https://carefli-github-actions-s3-bucket.s3.ap-northeast-2.amazonaws.com/giftImages/%E1%84%89%E1%85%AE%E1%86%AF%E1%84%8C%E1%85%A1%E1%86%AB+%E1%84%8C%E1%85%AE%E1%84%8B%E1%85%B5%E1%86%AB%E1%84%82%E1%85%B5%E1%86%B7+%E1%84%92%E1%85%A2%E1%86%AB%E1%84%83%E1%85%B3%E1%84%86%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%83%E1%85%B3+%E1%84%80%E1%85%A1%E1%86%BC%E1%84%8B%E1%85%A1%E1%84%8C%E1%85%B5+%5B%E1%84%89%E1%85%A9%E1%84%8C%E1%85%AE%E1%84%8C%E1%85%A1%E1%86%AB+%E1%84%83%E1%85%A9%E1%84%8F%E1%85%AE%E1%84%85%E1%85%B5+%E1%84%89%E1%85%B5%E1%86%AB%E1%84%92%E1%85%A9%E1%86%AB%E1%84%87%E1%85%AE%E1%84%87%E1%85%AE+%E1%84%8C%E1%85%A1%E1%84%8E%E1%85%B1.png
주류,식기,이첸도르프 투투 화이트와인 글래스 2P 세트,58000,,https://gift.kakao.com/product/9185098,https://carefli-github-actions-s3-bucket.s3.ap-northeast-2.amazonaws.com/giftImages/%5B%E1%84%83%E1%85%A5%E1%84%8F%E1%85%A9%E1%86%AB%E1%84%85%E1%85%A1%E1%86%AB%E1%84%89%E1%85%A3%E1%86%B8%5D+%E1%84%8B%E1%85%B5%E1%84%8E%E1%85%A6%E1%86%AB%E1%84%83%E1%85%A9%E1%84%85%E1%85%B3%E1%84%91%E1%85%B3+%E1%84%90%E1%85%AE%E1%84%90%E1%85%AE+%E1%84%92%E1%85%AA%E1%84%8B%E1%85%B5%E1%84%90%E1%85%B3%E1%84%8B%E1%85%AA%E1%84%8B%E1%85%B5%E1%86%AB+%E1%84%80%E1%85%B3%E1%86%AF%E1%84%85%E1%85%A2%E1%84%89%E1%85%B3+2P+%E1%84%89%E1%85%A6%E1%84%90%E1%85%B3.png
주류,식기,로얄리프 발베니 언더&위스키잔 2p,31500,,https://gift.kakao.com/product/10012446,https://carefli-github-actions-s3-bucket.s3.ap-northeast-2.amazonaws.com/giftImages/%5B%E1%84%85%E1%85%A9%E1%86%BA%E1%84%83%E1%85%A6%E1%84%87%E1%85%A2%E1%86%A8%E1%84%92%E1%85%AA%E1%84%8C%E1%85%A5%E1%86%B7%5D%E1%84%85%E1%85%A9%E1%84%8B%E1%85%A3%E1%86%AF%E1%84%85%E1%85%B5%E1%84%91%E1%85%B3+%E1%84%87%E1%85%A1%E1%86%AF%E1%84%87%E1%85%A6%E1%84%82%E1%85%B5+%E1%84%8B%E1%85%A5%E1%86%AB%E1%84%83%E1%85%A5%26%E1%84%8B%E1%85%B1%E1%84%89%E1%85%B3%E1%84%8F%E1%85%B5%E1%84%8C%E1%85%A1%E1%86%AB+2p.jpeg
커피음료,금액권,스타벅스 e카드 3만원 교환권,30000,,https://gift.kakao.com/product/7892035,https://carefli-github-actions-s3-bucket.s3.ap-northeast-2.amazonaws.com/giftImages/e%E1%84%8F%E1%85%A1%E1%84%83%E1%85%B3+3%E1%84%86%E1%85%A1%E1%86%AB%E1%84%8B%E1%85%AF%E1%86%AB+%E1%84%80%E1%85%AD%E1%84%92%E1%85%AA%E1%86%AB%E1%84%80%E1%85%AF%E1%86%AB.jpeg
커피음료,상품권,스타벅스 아이스 카페 아메리카노 T 2잔 + 부드러운 생크림 카스텔라,13500,,https://gift.kakao.com/product/7892633,https://carefli-github-actions-s3-bucket.s3.ap-northeast-2.amazonaws.com/giftImages/%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6+%E1%84%8B%E1%85%A1%E1%84%86%E1%85%A6%E1%84%85%E1%85%B5%E1%84%8F%E1%85%A1%E1%84%82%E1%85%A9+T+2%E1%84%8C%E1%85%A1%E1%86%AB+%2B+%E1%84%87%E1%85%AE%E1%84%83%E1%85%B3%E1%84%85%E1%85%A5%E1%84%8B%E1%85%AE%E1%86%AB+%E1%84%89%E1%85%A2%E1%86%BC%E1%84%8F%E1%85%B3%E1%84%85%E1%85%B5%E1%86%B7+%E1%84%8F%E1%85%A1%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%86%AF%E1%84%85%E1%85%A1.jpeg
커피음료,상품권,스타벅스 아이스 카페 아메리카노 T,4500,,https://gift.kakao.com/product/7892461,https://carefli-github-actions-s3-bucket.s3.ap-northeast-2.amazonaws.com/giftImages/%E1%84%8B%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%89%E1%85%B3+%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6+%E1%84%8B%E1%85%A1%E1%84%86%E1%85%A6%E1%84%85%E1%85%B5%E1%84%8F%E1%85%A1%E1%84%82%E1%85%A9+T.jpeg
커피음료,상품권,이디야커피 아망추 (복숭아) (R),3900,,https://gift.kakao.com/product/9994523,https://carefli-github-actions-s3-bucket.s3.ap-northeast-2.amazonaws.com/giftImages/%E1%84%8B%E1%85%A1%E1%84%86%E1%85%A1%E1%86%BC%E1%84%8E%E1%85%AE+(%E1%84%87%E1%85%A9%E1%86%A8%E1%84%89%E1%85%AE%E1%86%BC%E1%84%8B%E1%85%A1)+(R).jpeg
커피음료,금액권,공차 디지털 상품권 2만원권,20000,,https://gift.kakao.com/product/10372816,https://carefli-github-actions-s3-bucket.s3.ap-northeast-2.amazonaws.com/giftImages/%E1%84%80%E1%85%A9%E1%86%BC%E1%84%8E%E1%85%A1+%E1%84%83%E1%85%B5%E1%84%8C%E1%85%B5%E1%84%90%E1%85%A5%E1%86%AF+%E1%84%89%E1%85%A1%E1%86%BC%E1%84%91%E1%85%AE%E1%86%B7%E1%84%80%E1%85%AF%E1%86%AB+2%E1%84%86%E1%85%A1%E1%86%AB%E1%84%8B%E1%85%AF%E1%86%AB%E1%84%80%E1%85%AF%E1%86%AB.png
